lexeme          lineNo TokenName              ValueIfNumber Parent                 isLeaf Node                  
#line          	 33 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
union          	 34 	 TK_UNION              	 ----      	 typeDefinition        	 yes 	 TK_UNION              	 
----           	 0  	 typeDefinition        	 ----      	 typeDefinitions       	 no  	 typeDefinition        	 
#four          	 34 	 TK_RUID               	 ----      	 typeDefinition        	 yes 	 TK_RUID               	 
type           	 35 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
#line          	 35 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 35 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
ln             	 35 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 35 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
----           	 0  	 fieldDefinitions      	 ----      	 typeDefinition        	 no  	 fieldDefinitions      	 
type           	 36 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
#point         	 36 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 36 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
pt             	 36 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 36 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
type           	 37 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 moreFields            	 no  	 fieldDefinition       	 
#traingle      	 37 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 37 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
tr             	 37 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 37 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
----           	 0  	 moreFields            	 ----      	 fieldDefinitions      	 no  	 moreFields            	 
eps            	 0  	 eps                   	 ----      	 moreFields            	 yes 	 eps                   	 
----           	 0  	 moreFields            	 ----      	 moreFields            	 no  	 moreFields            	 
endunion       	 38 	 TK_ENDUNION           	 ----      	 typeDefinition        	 yes 	 TK_ENDUNION           	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
definetype     	 39 	 TK_DEFINETYPE         	 ----      	 definetypestmt        	 yes 	 TK_DEFINETYPE         	 
----           	 0  	 definetypestmt        	 ----      	 typeDefinitions       	 no  	 definetypestmt        	 
record         	 39 	 TK_RECORD             	 ----      	 A                     	 yes 	 TK_RECORD             	 
----           	 0  	 A                     	 ----      	 definetypestmt        	 no  	 A                     	 
#three         	 39 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
as             	 39 	 TK_AS                 	 ----      	 definetypestmt        	 yes 	 TK_AS                 	 
#triangle      	 39 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
record         	 40 	 TK_RECORD             	 ----      	 typeDefinition        	 yes 	 TK_RECORD             	 
----           	 0  	 typeDefinition        	 ----      	 typeDefinitions       	 no  	 typeDefinition        	 
#three         	 40 	 TK_RUID               	 ----      	 typeDefinition        	 yes 	 TK_RUID               	 
type           	 41 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
#line          	 41 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 41 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
base           	 41 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 41 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
----           	 0  	 fieldDefinitions      	 ----      	 typeDefinition        	 no  	 fieldDefinitions      	 
type           	 42 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
#line          	 42 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 42 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
height         	 42 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 42 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 moreFields            	 yes 	 eps                   	 
----           	 0  	 moreFields            	 ----      	 fieldDefinitions      	 no  	 moreFields            	 
endrecord      	 43 	 TK_ENDRECORD          	 ----      	 typeDefinition        	 yes 	 TK_ENDRECORD          	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
definetype     	 44 	 TK_DEFINETYPE         	 ----      	 definetypestmt        	 yes 	 TK_DEFINETYPE         	 
----           	 0  	 definetypestmt        	 ----      	 typeDefinitions       	 no  	 definetypestmt        	 
union          	 44 	 TK_UNION              	 ----      	 A                     	 yes 	 TK_UNION              	 
----           	 0  	 A                     	 ----      	 definetypestmt        	 no  	 A                     	 
#four          	 44 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
as             	 44 	 TK_AS                 	 ----      	 definetypestmt        	 yes 	 TK_AS                 	 
#shape         	 44 	 TK_RUID               	 ----      	 definetypestmt        	 yes 	 TK_RUID               	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
record         	 45 	 TK_RECORD             	 ----      	 typeDefinition        	 yes 	 TK_RECORD             	 
----           	 0  	 typeDefinition        	 ----      	 typeDefinitions       	 no  	 typeDefinition        	 
#variantrecord 	 45 	 TK_RUID               	 ----      	 typeDefinition        	 yes 	 TK_RUID               	 
type           	 46 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
int            	 46 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 46 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
tag            	 46 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 46 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
----           	 0  	 fieldDefinitions      	 ----      	 typeDefinition        	 no  	 fieldDefinitions      	 
type           	 47 	 TK_TYPE               	 ----      	 fieldDefinition       	 yes 	 TK_TYPE               	 
----           	 0  	 fieldDefinition       	 ----      	 fieldDefinitions      	 no  	 fieldDefinition       	 
#shape         	 47 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
----           	 0  	 dataType              	 ----      	 fieldDefinition       	 no  	 dataType              	 
:              	 47 	 TK_COLON              	 ----      	 fieldDefinition       	 yes 	 TK_COLON              	 
s              	 47 	 TK_FIELDID            	 ----      	 fieldDefinition       	 yes 	 TK_FIELDID            	 
;              	 47 	 TK_SEM                	 ----      	 fieldDefinition       	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 moreFields            	 yes 	 eps                   	 
----           	 0  	 moreFields            	 ----      	 fieldDefinitions      	 no  	 moreFields            	 
endrecord      	 48 	 TK_ENDRECORD          	 ----      	 typeDefinition        	 yes 	 TK_ENDRECORD          	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
eps            	 0  	 eps                   	 ----      	 typeDefinitions       	 yes 	 eps                   	 
----           	 0  	 typeDefinitions       	 ----      	 typeDefinitions       	 no  	 typeDefinitions       	 
----           	 0  	 stmts                 	 ----      	 mainFunction          	 no  	 stmts                 	 
type           	 50 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
record         	 50 	 TK_RECORD             	 ----      	 A                     	 yes 	 TK_RECORD             	 
----           	 0  	 A                     	 ----      	 constructedDataType   	 no  	 A                     	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
#variantrecord 	 50 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 50 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
d4             	 50 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 50 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
type           	 51 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 51 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 51 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5             	 51 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 51 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
type           	 52 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 52 	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 52 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
d5cb34567      	 52 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 52 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
type           	 53 	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
record         	 53 	 TK_RECORD             	 ----      	 A                     	 yes 	 TK_RECORD             	 
----           	 0  	 A                     	 ----      	 constructedDataType   	 no  	 A                     	 
----           	 0  	 constructedDataType   	 ----      	 dataType              	 no  	 constructedDataType   	 
#variantrecord 	 53 	 TK_RUID               	 ----      	 constructedDataType   	 yes 	 TK_RUID               	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 53 	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5c6           	 53 	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 53 	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5c6           	 54 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 54 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5c6           	 54 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 option_single_constructed	 no  	 oneExpansion          	 
tag            	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
eps            	 0  	 eps                   	 ----      	 moreExpansions        	 yes 	 eps                   	 
----           	 0  	 moreExpansions        	 ----      	 option_single_constructed	 no  	 moreExpansions        	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmeticExpression  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 54 	 TK_PLUS               	 ----      	 operator              	 yes 	 TK_PLUS               	 
----           	 0  	 operator              	 ----      	 arithmetic_recursion  	 no  	 operator              	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmeticExpression  	 no  	 arithmetic_recursion  	 
d4             	 54 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 option_single_constructed	 no  	 oneExpansion          	 
s              	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
ln             	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 option_single_constructed	 no  	 moreExpansions        	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
beginpoint     	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
x              	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
eps            	 0  	 eps                   	 ----      	 moreExpansions        	 yes 	 eps                   	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmetic_recursion  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
-              	 54 	 TK_MINUS              	 ----      	 operator              	 yes 	 TK_MINUS              	 
----           	 0  	 operator              	 ----      	 arithmetic_recursion  	 no  	 operator              	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmetic_recursion  	 no  	 arithmetic_recursion  	 
b5c6           	 54 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 option_single_constructed	 no  	 oneExpansion          	 
s              	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
tr             	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 option_single_constructed	 no  	 moreExpansions        	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
base           	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
beginpoint     	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
.              	 54 	 TK_DOT                	 ----      	 oneExpansion          	 yes 	 TK_DOT                	 
----           	 0  	 oneExpansion          	 ----      	 moreExpansions        	 no  	 oneExpansion          	 
y              	 54 	 TK_FIELDID            	 ----      	 oneExpansion          	 yes 	 TK_FIELDID            	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
eps            	 0  	 eps                   	 ----      	 moreExpansions        	 yes 	 eps                   	 
----           	 0  	 moreExpansions        	 ----      	 moreExpansions        	 no  	 moreExpansions        	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmetic_recursion  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
eps            	 0  	 eps                   	 ----      	 arithmetic_recursion  	 yes 	 eps                   	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmetic_recursion  	 no  	 arithmetic_recursion  	 
;              	 54 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 stmts                 	 no  	 otherStmts            	 
b5             	 55 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 55 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5             	 55 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmeticExpression  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
+              	 55 	 TK_PLUS               	 ----      	 operator              	 yes 	 TK_PLUS               	 
----           	 0  	 operator              	 ----      	 arithmetic_recursion  	 no  	 operator              	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmeticExpression  	 no  	 arithmetic_recursion  	 
1              	 55 	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmetic_recursion  	 no  	 arith_term            	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
eps            	 0  	 eps                   	 ----      	 arithmetic_recursion  	 yes 	 eps                   	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmetic_recursion  	 no  	 arithmetic_recursion  	 
;              	 55 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
d4             	 56 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 56 	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
b5c6           	 56 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 arith_term            	 no  	 factor                	 
----           	 0  	 arith_term            	 ----      	 arithmeticExpression  	 no  	 arith_term            	 
/              	 56 	 TK_DIV                	 ----      	 operator_second       	 yes 	 TK_DIV                	 
----           	 0  	 operator_second       	 ----      	 term_recursion        	 no  	 operator_second       	 
----           	 0  	 term_recursion        	 ----      	 arith_term            	 no  	 term_recursion        	 
d5cb34567      	 56 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 factor                	 no  	 var                   	 
----           	 0  	 factor                	 ----      	 term_recursion        	 no  	 factor                	 
eps            	 0  	 eps                   	 ----      	 term_recursion        	 yes 	 eps                   	 
----           	 0  	 term_recursion        	 ----      	 term_recursion        	 no  	 term_recursion        	 
----           	 0  	 arithmeticExpression  	 ----      	 assignmentStmt        	 no  	 arithmeticExpression  	 
eps            	 0  	 eps                   	 ----      	 arithmetic_recursion  	 yes 	 eps                   	 
----           	 0  	 arithmetic_recursion  	 ----      	 arithmeticExpression  	 no  	 arithmetic_recursion  	 
;              	 56 	 TK_SEM                	 ----      	 assignmentStmt        	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
write          	 57 	 TK_WRITE              	 ----      	 ioStmt                	 yes 	 TK_WRITE              	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 57 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
d4             	 57 	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 var                   	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 var                   	 ----      	 ioStmt                	 no  	 var                   	 
)              	 57 	 TK_CL                 	 ----      	 ioStmt                	 yes 	 TK_CL                 	 
;              	 57 	 TK_SEM                	 ----      	 ioStmt                	 yes 	 TK_SEM                	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
write          	 58 	 TK_WRITE              	 ----      	 ioStmt                	 yes 	 TK_WRITE              	 
----           	 0  	 ioStmt                	 ----      	 stmt                  	 no  	 ioStmt                	 
(              	 58 	 TK_OP                 	 ----      	 ioStmt                	 yes 	 TK_OP                 	 
